date,prices,market_caps,total_volumes
2018-10-21,104.27947488745185,1720064862.692159,371426648.27648157
2018-10-22,104.67290012754196,1727955335.3434262,183628977.59630647
2018-10-23,106.02950320330922,1750537523.3714743,278257268.351154
2018-10-24,107.42529696220201,1773881915.4694107,174295955.72740704
2018-10-25,105.83875253308827,1747936465.1983812,213014781.84384543
2018-10-26,105.63273509829621,1745040823.4072914,268549110.0181672
2018-10-27,103.68272461006575,1712859443.9769568,189952528.98278585
2018-10-28,102.83962652974023,1699274840.3697782,202971899.73962882
2018-10-29,103.07351094126867,1703236355.699856,233014745.91902086
2018-10-30,99.49433220032137,1644464948.461778,270194027.519682
2018-10-31,102.26393078832922,1690783285.2234561,255116949.57437748
2018-11-01,103.15932609282348,1705548997.7717798,263071866.30161375
2018-11-02,103.77949876830243,1716632103.6585827,262544478.68481627
2018-11-03,106.61364930727277,1763291634.2116785,367380485.31251734
2018-11-04,107.15378615472022,1769280456.4827733,433084432.2515442
2018-11-05,112.861272215926,1867142211.5193458,723253372.8149192
2018-11-06,110.44004349105084,1827437602.53084,636317155.7860525
2018-11-07,112.9690882757322,1868813210.019521,692007621.3409905
2018-11-08,111.83618129355345,1850561481.953574,674037229.7587975
2018-11-09,109.6909409524359,1816331538.3831275,699355681.8210101
2018-11-10,107.51440773260404,1778096929.0701873,936381118.7804407
2018-11-11,105.93272964936699,1749496298.2597446,768949419.0283304
2018-11-12,106.5108421924192,1764061041.2064164,779181878.5584006
2018-11-13,105.86818584353415,1753692126.9551597,1207954453.3700392
2018-11-14,105.98042429737875,1756183950.7453508,553204015.3362465
2018-11-15,93.92294666424873,1556302625.1863906,285954466.3877282
2018-11-16,91.25146648401022,1512304976.3541222,264683974.20664904
2018-11-17,89.49063683027434,1483326967.714275,256390271.8700906
2018-11-18,90.29544869914692,1496800171.0472143,222258637.54703078
2018-11-19,89.65523666484877,1485040143.1630306,25695260.769765407
2018-11-20,74.4643342960832,1236758445.5248916,90353137.20993489
2018-11-21,67.58858715035804,1110809295.5257294,129136341.19549079
2018-11-22,69.65702394136733,1155785487.8846502,134117978.11827898
2018-11-23,66.04740844571059,1106624699.7356498,127949223.32150964
2018-11-24,67.75544828955513,1124265488.8160572,119941585.88037597
2018-11-25,59.83335922541085,992962333.190166,95042985.1852322
2018-11-26,58.969868979781346,979375878.952086,80243893.5115386
2018-11-27,54.47286684950734,905376813.1424176,124390309.69364235
2018-11-28,57.61150960112101,964168504.3275287,122787447.06787369
2018-11-29,63.64143412902858,1049170759.895208,390767004.4438566
2018-11-30,62.05094093002521,1029617737.9800752,376737449.696448
2018-12-01,58.8068814796214,981864121.8428257,465216213.3641246
2018-12-02,59.852354058439346,1000524608.7111249,288222511.6580195
2018-12-03,59.86943920672371,992886685.018773,118010589.1331973
2018-12-04,55.740066406466426,928267583.3077885,96796452.36522344
2018-12-05,57.7401556783817,948539717.6771353,110765779.3091516
2018-12-06,52.661046623111616,877349623.3522965,103588820.8375015
2018-12-07,46.3854428935696,771325778.9747484,106143198.06951945
2018-12-08,46.637721213489584,775498114.6170714,368670464.74414045
2018-12-09,45.54662844773644,755950566.9960972,273828518.69597006
2018-12-10,47.216666949383615,785356665.6643804,373028455.7325647
2018-12-11,44.115674828265625,734083564.8962011,755236956.54578
2018-12-12,42.324532237876916,704420771.810771,764752801.1548257
2018-12-13,43.773470685075594,727276978.8976055,776742743.3881097
2018-12-14,40.73497352428422,677350411.2389245,692396735.867337
2018-12-15,38.62280462741452,640630171.5827981,696987414.6947423
2018-12-16,38.40332471664196,639363125.5634896,727197466.8078301
2018-12-17,38.86713176347672,648709359.2145079,752220714.5022345
2018-12-18,42.89062191885681,714248708.124758,808269789.4071586
2018-12-19,45.43130125179819,756667327.4404187,455274796.1417564
2018-12-20,45.17477496373357,753003638.0850705,368148218.6333869
2018-12-21,53.67676785807377,892930682.7803627,473949680.00129384
2018-12-22,51.01902022174181,850284608.2647147,674911243.2234304
2018-12-23,51.05919851528682,837048867.1077297,774553098.1079024
2018-12-24,52.32456179718953,871663284.2226335,923805515.0570811
2018-12-25,55.50521885250065,926299708.5586549,551461863.5120393
2018-12-26,50.03712409922777,831907578.2265136,901986358.0972602
2018-12-27,48.667144846455166,811517541.2538141,347626316.49862975
2018-12-28,44.42386179117874,742918245.5811253,159965321.3780125
2018-12-29,49.19757835705737,820352915.9120609,227945226.7139057
2018-12-30,48.0204304618434,805854466.1645164,386865217.3319314
2018-12-31,48.130331288328655,803035214.8552158,33915478.41198923
2019-01-01,46.54565866571819,776560583.1717503,732574172.2906677
2019-01-02,48.08691007300983,796370626.941057,749915990.2362084
2019-01-03,51.42343312970918,858349785.8925095,507835370.08531064
2019-01-04,49.80863453483989,831392371.7519826,661614746.3007659
