date,bitcoin_market_caps,ethereum_market_caps,tether_market_caps,ripple_market_caps,solana_market_caps,terra-luna_market_caps,cardano_market_caps,avalanche-2_market_caps,stellar_market_caps,monero_market_caps
2019-03-26,69206266248.88437,14114508110.83552,2051277713.936206,12634520320.834866,9395489549.381342,148490494.7295328,1825444528.728615,21192059558.799458,1957254503.7961242,868735762.3616903
2019-03-27,69368692535.334,14127347666.266151,2059497756.0923193,12562002566.76535,9396692749.038607,144679825.7943836,1912322649.5396695,24476225101.21547,1963872936.67633,876239946.94819
2019-03-28,71134892682.49236,14728909325.816017,2055233665.868978,12934648160.99119,9033978686.400785,130639372.6891497,2085490917.9162295,24123591784.97086,2060927806.6112225,895090749.4723557
2019-03-29,70961529493.34933,14528588960.681654,2057938698.6797628,12801968361.38052,9343669279.576614,120701406.60215825,2040501513.483253,27142146334.367153,2045610199.581636,889945391.3512775
2019-03-30,72303023146.20026,15091573435.250275,2057620763.6206555,12849798129.98228,9995196544.250605,137676515.80261403,2246917340.7308917,28154087241.713943,2079818816.4316077,900057322.6507558
2019-03-31,72305792937.3489,15005382590.00451,2059187276.0119786,12976136065.589048,9137574846.549248,139939257.27613246,2234931086.3977423,26478881283.10636,2066706196.9186432,900981049.5856082
2019-04-01,72310769858.13646,14930496588.280657,2056503957.9496825,12902812759.54749,9138440436.827877,139817854.69611356,2174696705.146237,27882474232.963734,2072985199.679988,939096468.2115973
2019-04-02,73066822741.99345,14928001079.066639,2057429259.2673326,13051805828.323729,8716478997.829847,145725038.34169316,2250534949.5023303,30053463452.80481,2112515786.511477,1024060579.2804333
2019-04-03,86200568432.5752,17376379496.109585,2063992651.790423,14751322849.327442,8760359617.466415,148957488.5432148,2643388414.9778748,28511627051.336063,2344185317.235296,1166679317.4615238
2019-04-04,87673795383.52638,17073994347.06151,2065955959.728469,14265624598.414612,8429306463.204107,143879404.88127282,2840882113.0424204,29617844546.20581,2356030983.8426995,1125991471.7535164
2019-04-05,86482892583.41296,16631238666.397068,2058884612.793791,13825253951.510794,7953342249.0019,157773555.63176912,2715051077.9800663,27967800590.516228,2277780396.352406,1077017060.9444637
