date,tether,ripple,isPartial
2022-01-20 03:00:00,26,40,False
2022-01-20 04:00:00,27,59,False
2022-01-20 05:00:00,26,45,False
2022-01-20 06:00:00,8,63,False
2022-01-20 07:00:00,15,55,False
2022-01-20 08:00:00,14,29,False
2022-01-20 09:00:00,17,42,False
2022-01-20 10:00:00,23,54,False
2022-01-20 11:00:00,9,41,False
2022-01-20 12:00:00,26,55,False
2022-01-20 13:00:00,20,67,False
2022-01-20 14:00:00,16,36,False
2022-01-20 15:00:00,14,61,False
2022-01-20 16:00:00,24,53,False
2022-01-20 17:00:00,26,56,False
2022-01-20 18:00:00,10,73,False
2022-01-20 19:00:00,25,75,False
2022-01-20 20:00:00,42,85,False
2022-01-20 21:00:00,31,70,False
2022-01-20 22:00:00,24,85,False
2022-01-20 23:00:00,17,44,False
2022-01-21 00:00:00,13,45,False
2022-01-21 01:00:00,39,53,False
2022-01-21 02:00:00,18,77,False
2022-01-21 03:00:00,13,54,False
2022-01-21 04:00:00,41,70,False
2022-01-21 05:00:00,18,94,False
2022-01-21 06:00:00,22,39,False
2022-01-21 07:00:00,16,81,False
2022-01-21 08:00:00,11,73,False
2022-01-21 09:00:00,28,71,False
2022-01-21 10:00:00,17,48,False
2022-01-21 11:00:00,10,30,False
2022-01-21 12:00:00,12,62,False
2022-01-21 13:00:00,22,45,False
2022-01-21 14:00:00,11,52,False
2022-01-21 15:00:00,24,65,False
2022-01-21 16:00:00,16,49,False
2022-01-21 17:00:00,29,53,False
2022-01-21 18:00:00,18,55,False
2022-01-21 19:00:00,22,55,False
2022-01-21 20:00:00,38,73,False
2022-01-21 21:00:00,34,76,False
2022-01-21 22:00:00,33,93,False
2022-01-21 23:00:00,22,77,False
2022-01-22 00:00:00,14,52,False
2022-01-22 00:00:00,13,48,False
2022-01-22 01:00:00,13,63,False
2022-01-22 02:00:00,9,67,False
2022-01-22 03:00:00,22,64,False
2022-01-22 04:00:00,23,85,False
2022-01-22 05:00:00,23,53,False
2022-01-22 06:00:00,14,70,False
2022-01-22 07:00:00,4,53,False
2022-01-22 08:00:00,16,61,False
2022-01-22 09:00:00,19,77,False
2022-01-22 10:00:00,22,60,False
2022-01-22 11:00:00,27,63,False
2022-01-22 12:00:00,29,56,False
2022-01-22 13:00:00,12,53,False
2022-01-22 14:00:00,26,64,False
2022-01-22 15:00:00,30,51,False
2022-01-22 16:00:00,52,51,False
2022-01-22 17:00:00,51,92,False
2022-01-22 18:00:00,30,83,False
2022-01-22 19:00:00,19,61,False
2022-01-22 20:00:00,34,69,False
2022-01-22 21:00:00,39,66,False
2022-01-22 22:00:00,23,59,False
2022-01-22 23:00:00,37,55,False
2022-01-23 00:00:00,17,83,False
2022-01-23 01:00:00,39,49,False
2022-01-23 02:00:00,22,41,False
2022-01-23 03:00:00,22,77,False
2022-01-23 04:00:00,14,79,False
2022-01-23 05:00:00,9,97,False
2022-01-23 06:00:00,14,72,False
2022-01-23 07:00:00,18,73,False
2022-01-23 08:00:00,37,46,False
2022-01-23 09:00:00,8,54,False
2022-01-23 10:00:00,33,56,False
2022-01-23 11:00:00,21,50,False
2022-01-23 12:00:00,23,40,False
2022-01-23 13:00:00,15,50,False
2022-01-23 14:00:00,28,60,False
2022-01-23 15:00:00,14,36,False
2022-01-23 16:00:00,30,34,False
2022-01-23 17:00:00,22,36,False
2022-01-23 18:00:00,32,29,False
2022-01-23 19:00:00,33,61,False
2022-01-23 20:00:00,19,35,False
2022-01-23 21:00:00,24,62,False
2022-01-23 22:00:00,38,90,False
2022-01-23 23:00:00,13,55,False
2022-01-24 00:00:00,17,69,False
2022-01-24 01:00:00,12,29,False
2022-01-24 02:00:00,36,62,False
2022-01-24 03:00:00,24,29,False
2022-01-24 04:00:00,26,70,False
2022-01-24 05:00:00,13,100,False
2022-01-24 06:00:00,32,41,False
2022-01-24 07:00:00,11,37,False
2022-01-24 08:00:00,20,41,False
2022-01-24 09:00:00,45,39,False
2022-01-24 10:00:00,28,44,False
2022-01-24 11:00:00,15,66,False
2022-01-24 12:00:00,32,44,False
2022-01-24 13:00:00,28,47,False
2022-01-24 14:00:00,13,55,False
2022-01-24 15:00:00,19,34,False
2022-01-24 16:00:00,21,50,False
2022-01-24 17:00:00,13,57,False
2022-01-24 18:00:00,19,61,False
2022-01-24 19:00:00,30,44,False
2022-01-24 20:00:00,27,71,False
2022-01-24 21:00:00,15,48,False
2022-01-24 22:00:00,36,50,False
2022-01-24 23:00:00,11,48,False
2022-01-25 00:00:00,33,67,False
2022-01-25 01:00:00,29,81,False
2022-01-25 02:00:00,35,54,False
2022-01-25 03:00:00,14,30,False
2022-01-25 04:00:00,4,46,False
2022-01-25 05:00:00,19,54,False
2022-01-25 06:00:00,31,57,False
2022-01-25 07:00:00,19,53,False
2022-01-25 08:00:00,9,32,False
2022-01-25 09:00:00,23,45,False
2022-01-25 10:00:00,20,58,False
2022-01-25 11:00:00,29,70,False
2022-01-25 12:00:00,17,37,False
2022-01-25 13:00:00,20,55,False
2022-01-25 14:00:00,21,55,False
2022-01-25 15:00:00,17,44,False
2022-01-25 16:00:00,20,49,False
2022-01-25 17:00:00,11,44,False
2022-01-25 18:00:00,9,58,False
2022-01-25 19:00:00,25,43,False
2022-01-25 20:00:00,16,56,False
2022-01-25 21:00:00,12,57,False
2022-01-25 22:00:00,36,43,False
2022-01-25 23:00:00,11,68,False
2022-01-26 00:00:00,26,61,False
2022-01-26 01:00:00,29,41,False
2022-01-26 02:00:00,18,53,False
2022-01-26 03:00:00,15,42,False
2022-01-26 04:00:00,20,83,False
2022-01-26 05:00:00,25,68,False
2022-01-26 06:00:00,29,55,False
2022-01-26 07:00:00,15,31,False
2022-01-26 08:00:00,17,53,False
2022-01-26 09:00:00,23,65,False
2022-01-26 10:00:00,13,53,False
2022-01-26 11:00:00,21,34,False
2022-01-26 12:00:00,33,48,False
2022-01-26 13:00:00,26,60,False
2022-01-26 14:00:00,22,62,False
2022-01-26 15:00:00,22,53,False
2022-01-26 16:00:00,29,80,False
2022-01-26 17:00:00,18,47,False
2022-01-26 18:00:00,10,62,False
2022-01-26 19:00:00,17,49,False
2022-01-26 20:00:00,24,85,False
2022-01-26 21:00:00,39,50,False
2022-01-26 22:00:00,22,86,False
2022-01-26 23:00:00,20,50,False
2022-01-27 00:00:00,21,72,False
2022-01-27 01:00:00,25,46,False
2022-01-27 02:00:00,29,64,False
2022-01-27 03:00:00,13,64,False
2022-01-27 04:00:00,22,72,False
2022-01-27 05:00:00,13,53,False
2022-01-27 06:00:00,24,71,False
2022-01-27 07:00:00,11,38,False
2022-01-27 08:00:00,24,53,False
2022-01-27 09:00:00,13,97,False
2022-01-27 10:00:00,9,35,False
2022-01-27 11:00:00,23,42,False
2022-01-27 12:00:00,8,58,False
2022-01-27 13:00:00,13,46,False
2022-01-27 14:00:00,15,40,False
2022-01-27 15:00:00,15,33,False
2022-01-27 16:00:00,10,56,False
2022-01-27 17:00:00,21,42,False
2022-01-27 18:00:00,22,55,False
2022-01-27 19:00:00,25,52,False
2022-01-27 20:00:00,21,62,False
2022-01-27 21:00:00,23,57,False
2022-01-27 22:00:00,29,41,False
2022-01-27 23:00:00,12,53,False
2022-01-28 00:00:00,8,50,False
2022-01-28 01:00:00,8,41,False
2022-01-28 02:00:00,29,54,False
2022-01-28 03:00:00,34,48,False
2022-01-28 04:00:00,9,40,False
2022-01-28 05:00:00,31,72,False
2022-01-28 06:00:00,8,25,False
